learning epoch:  1 ...
preds:  ['Expansion. Conjunction', 'Expansion.Conjunction', 'Temporal.Automotive.', 'Expansion.Conjunction.', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.level', 'Temporal.Acrometer Temporal.Anagramometer Temporal.Acrometer Temporal', 'Exxon-Level Expansion.Level', 'Expansion.Level', 'Temporary.Assile.', 'Expansion.Conjunction.', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.level', 'Expansion.Constant.Constant.Constant.Constant.Constant.']  | target:  ['Expansion.Conjunction', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Temporal.Asynchronous', 'Expansion.Level', 'Expansion.Level', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Conjunction']
preds:  ['Expansion.Level', 'Expansion.Level.', 'Expansion. Level.', 'Temporal. Synchronous', 'Comparison & Concession Comparison & Concession Comparison & Concession Comparison & Concession Comparison & Con', 'Expansion. Level: Expansion. Level: Expansion. Level: Expansion. Level:', 'Temporal.', 'Comparison.Convention', 'Contingency.Cause', 'conjunction is a mixture of a mixture of a mixture of a mixture of a mixture of', 'Temporal.Asynchronous', 'Expansion.Conjunction.Conjunction.', 'Expansion.Conjunction', 'Expansion.Level', 'Comparison.com. Comparison.com. Comparison.com. Comparison.com.com. Comparison.com.com.', 'Comparison. Comparison.']  | target:  ['Expansion.Level', 'Expansion.Level', 'Expansion.Level', 'Temporal.Synchronous', 'Comparison.Concession', 'Expansion.Level', 'Temporal.Synchronous', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Comparison.Concession', 'Comparison.Concession']
preds:  ['Expansion. Level.', 'Expansion. Level.', "Comparison.com's Comparison.com's Comparison.com's Comparison.com's Comparison.com'", 'Expansion.', 'Expansion. Level.', 'Contenting.Cause.', 'Contingency. Cause', 'Expansion.Level', 'Expansion.Conjunction', 'Expiration.Level', 'Expansion.level', 'Temporal. Synchronous', 'Contingency. Propose.', 'Expansion.level', 'Expansion. Conjunction', 'Expansion. Level: Expansion. Level: Expansion. Level: Expansion. Level:']  | target:  ['Expansion.Level', 'Expansion.Level', 'Comparison.Concession', 'Expansion.Substitution', 'Expansion.Level', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Temporal.Synchronous', 'Contingency.Purpose', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Level']
preds:  ['Comparative.Contribution', 'Expansion.Level', 'Temporal.Synchronous', 'Expansion.', 'Expansion.Disjunction.', 'Experimentation.Construction.Construction.Construction.Construction.Construction', 'Expansion.Level', 'Expansion.Conjunction', 'Temporal.Synchronous', 'Expansion.Conjunction. Expansion.Conjunction. Expansion.Conjunction.', 'Expiration. STOP. STOP. STOP. STOP. STOP. STOP. STOP', 'Contingency.', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Comparison.Contribution.Contribution.Contribution.Contribution.Contribution.Contribu', 'Comparison.']  | target:  ['Comparison.Concession', 'Expansion.Level', 'Temporal.Synchronous', 'Expansion.Level', 'Expansion.Disjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Conjunction', 'Temporal.Synchronous', 'Expansion.Conjunction', 'Expansion.Level', 'Contingency.Cause', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Comparison.Concession', 'Comparison.Concession']
preds:  ['Expansion. Conjunction', 'Expansion.Conjunction', 'Expansion. Confrontation.', 'Comparison.', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.', 'Expansion.Conjunction', 'Expansion.', 'Comparison.', 'Expansion. Level', 'Expansion.Conjunction.', 'Expansion.level', 'Comparison.', 'Comparison.', 'Expansion.Level:']  | target:  ['Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Level', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Level']
preds:  ['Comparison.', 'Temporal. Synchronous', 'Contingency.', 'Having a negative attitude is a good thing to do if you have a negative attitude.', 'Expansion.Level Expansion.Level', 'level -           ', 'Expansion.Conjunction', 'Expansion.Conjunction', '           ', 'Expansion.Level', 'Expansion.Conjunction.', 'Contingency.', 'Expansion.', 'QAP.', 'Comparison.Concession', 'Expansion. Level']  | target:  ['Comparison.Concession', 'Temporal.Synchronous', 'Contingency.Cause', 'Contingency.Purpose', 'Expansion.Level', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Level', 'QAP.Hypophora', 'Comparison.Concession', 'Expansion.Level']
preds:  ['Expansion.', 'Expansion.Level', 'Contingency.Negative', 'Expansion.Construction.Construction.Construction.Construction.Construction.', 'Comparison.Concession.', 'Expansion.Construction.Construction.Construction.Construction.Construction.', 'Expansion.Level:Expansion.Level:Expansion.Level:Expansion.Level:', 'Expansion.Level.Level. Expansion.Level.Level.Level.Level.Level.Level.', 'Contingency.', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level.Level Expansion.', 'Expansion.Level: Expansion. Level: Expansion.Level: Expansion.Level:', 'Expansion. Level', 'Expansion', 'Expansion. Level']  | target:  ['Expansion.Level', 'Expansion.Level', 'Contingency.Negative', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Contingency.Cause', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Expansion.Level', 'Expansion.Level', 'Expansion.Level']
preds:  ['Expansion. Level', 'Contingency.', 'Comparison.', 'Comparison.', 'Expansion.Level.Level.', 'Expansion.Level', 'Temporal.Synchronous', 'Expansion.Conjunction', 'Expansion.Level - Expansion.level - Expansion.Level - Expansion', 'Expansion.', 'Comparison.Convention.Convention.Convention.Conction.Convention.Convention.Convention.Con', 'Expansion.', 'Expansion.Level', 'Contingency.', 'Expansion. Conjunction', 'Contingency.Cause']  | target:  ['Expansion.Level', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Level', 'Temporal.Synchronous', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Level', 'Contingency.Condition', 'Expansion.Conjunction', 'Contingency.Cause']
preds:  ['Expansion.Conjunction.', 'Expansion.Conjunction', 'Expansion.Level Expansion.Level', 'Expansion.Level', 'Comparison.Condition.com', 'Expansion.Level.', 'Expansion.Gallery.Agorification.Agorse.Agors', 'Expansion.floor.', 'Expansion.Construction.Construction.Construction.Construction.Construction.', 'Comparison.Convention.Comparency.Comparation.Comparation.Comparation.Comparation', 'Expansion.Conjunction', 'Temporal.Asynchronous.synchronous.', 'Expansion.Level Expansion.Level Expansion.Level Expansion.Level Expansion.', 'Contingency.', 'Expansion.', 'Expansion.Conjunction.']  | target:  ['Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Level', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Level', 'Expansion.Level', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Level', 'Contingency.Purpose', 'Expansion.Level', 'Expansion.Conjunction']
preds:  ['Expansion.Conjunction.Conjunction.', 'Comparison.Contribution.', 'Expansion.Conjunction', 'Comparison.Conference.Contribution.Contribution.Contribution.Contribuition.Contribution', 'Expansion.level', 'Expansion.Conjunction', 'Expansion.Level', 'Contingency.', 'Expansion.Conjunction.', 'Contingency.', "de l'espace de l'espace de l'espace de l'espace de l'", 'Expansion.Level: Expansion.Level: Expansion.Level: Expansion.Level:', 'Expansion.', 'Expansion.Conjunction', 'Compared.', 'comparison.Similarity comparison.Similarity comparison.Similarity']  | target:  ['Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Level', 'Contingency.Condition', 'Expansion.Conjunction', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Concession', 'Comparison.Similarity']
preds:  ['Expansion.Conjunction.Conjunction', 'Contingency. Purpose', 'Expansion. Level.', 'Comparison.Concession.', 'Contingency.Cause', 'Expansion.level.', 'Expansion.Conjunction.', 'Expansion. Conjunction.', 'Comparison.', 'Comparison. Comparison.', 'Expansion.Level', 'Comparison.', 'Expansion.', 'Expansion.Level.', 'Expansion.', 'Congregation.com |||| ||| |||||||||| ||']  | target:  ['Expansion.Conjunction', 'Contingency.Purpose', 'Expansion.Level', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Level', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Level', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Level', 'Expansion.Conjunction', 'Comparison.Concession']
